Date,Lo 30,Med 40,Hi 30
2019-06-18,    1.10,    1.24,    1.03
2019-06-19,    0.48,    0.32,    0.29
2019-06-20,    0.36,    0.68,    0.97
2019-06-21,   -0.57,   -0.63,   -0.14
2019-06-24,   -1.36,   -1.01,   -0.20
2019-06-25,   -0.51,   -0.69,   -1.02
2019-06-26,   -0.16,    0.01,   -0.04
2019-06-27,    2.04,    1.62,    0.42
2019-06-28,    1.71,    1.25,    0.59
2019-07-01,    0.27,    0.45,    0.81
2019-07-02,   -1.13,   -0.53,    0.27
2019-07-03,    0.54,    0.89,    0.79
2019-07-05,    0.35,    0.20,   -0.14
2019-07-08,   -0.85,   -1.00,   -0.51
2019-07-09,   -0.07,    0.07,    0.22
2019-07-10,    0.14,   -0.02,    0.47
2019-07-11,   -0.56,   -0.14,    0.26
2019-07-12,    0.68,    0.95,    0.49
2019-07-15,   -0.57,   -0.39,    0.02
2019-07-16,   -0.11,    0.10,   -0.37
2019-07-17,   -0.92,   -0.76,   -0.60
2019-07-18,   -0.27,    0.41,    0.37
2019-07-19,   -0.42,   -0.22,   -0.60
2019-07-22,   -0.26,   -0.11,    0.31
2019-07-23,    0.29,    0.78,    0.64
2019-07-24,    1.74,    1.52,    0.54
2019-07-25,   -1.50,   -1.01,   -0.55
2019-07-26,    1.19,    1.00,    0.81
2019-07-29,   -0.71,   -0.76,   -0.25
2019-07-30,    1.36,    0.69,   -0.30
2019-07-31,   -0.67,   -0.90,   -1.12
2019-08-01,   -1.76,   -1.89,   -0.90
2019-08-02,   -1.33,   -1.10,   -0.82
2019-08-05,   -3.08,   -2.96,   -3.07
2019-08-06,    0.55,    1.15,    1.33
2019-08-07,   -0.26,    0.02,    0.08
2019-08-08,    1.76,    2.13,    1.96
2019-08-09,   -1.15,   -1.37,   -0.70
2019-08-12,   -0.93,   -1.58,   -1.28
2019-08-13,    1.07,    1.19,    1.52
2019-08-14,   -2.73,   -3.15,   -2.92
2019-08-15,   -0.70,   -0.34,    0.25
2019-08-16,    2.33,    2.00,    1.48
2019-08-19,    1.16,    1.08,    1.16
2019-08-20,   -0.59,   -0.69,   -0.76
2019-08-21,    0.84,    0.89,    0.86
2019-08-22,   -0.53,   -0.07,   -0.08
2019-08-23,   -3.11,   -2.94,   -2.61
2019-08-26,    1.18,    0.87,    1.12
2019-08-27,   -1.66,   -1.14,   -0.35
2019-08-28,    1.31,    1.08,    0.63
2019-08-29,    1.55,    1.68,    1.32
2019-08-30,   -0.16,    0.05,    0.05
2019-09-03,   -1.55,   -1.52,   -0.76
2019-09-04,    0.68,    1.19,    1.09
2019-09-05,    2.04,    1.80,    1.38
2019-09-06,   -0.25,   -0.39,    0.05
2019-09-09,    1.85,    0.94,   -0.04
2019-09-10,    2.13,    0.95,    0.04
2019-09-11,    2.41,    1.61,    0.76
2019-09-12,   -0.16,   -0.09,    0.27
2019-09-13,    0.30,    0.16,   -0.03
2019-09-16,    0.75,    0.36,   -0.33
2019-09-17,   -0.72,   -0.38,    0.27
2019-09-18,   -0.83,   -0.43,    0.04
2019-09-19,   -0.63,   -0.36,    0.00
2019-09-20,    0.19,   -0.31,   -0.50
2019-09-23,   -0.10,    0.01,   -0.02
2019-09-24,   -1.90,   -1.56,   -0.90
2019-09-25,    0.94,    1.00,    0.67
2019-09-26,   -1.56,   -0.98,   -0.30
2019-09-27,   -0.70,   -0.84,   -0.56
2019-09-30,   -0.08,    0.50,    0.53
2019-10-01,   -2.17,   -1.81,   -1.21
2019-10-02,   -0.94,   -1.41,   -1.79
2019-10-03,    0.16,    0.66,    0.83
2019-10-04,    0.72,    1.03,    1.46
2019-10-07,   -0.30,   -0.31,   -0.41
2019-10-08,   -1.66,   -1.91,   -1.57
2019-10-09,    0.00,    0.77,    0.97
2019-10-10,    0.09,    0.63,    0.62
2019-10-11,    1.62,    1.88,    1.15
2019-10-14,   -0.50,   -0.44,   -0.13
2019-10-15,    1.23,    1.12,    1.02
2019-10-16,    0.30,   -0.18,   -0.25
2019-10-17,    0.99,    0.91,    0.30
2019-10-18,   -0.55,   -0.45,   -0.48
2019-10-21,    1.35,    0.80,    0.70
2019-10-22,    0.24,   -0.05,   -0.36
2019-10-23,    0.25,    0.06,    0.27
2019-10-24,   -0.55,    0.01,    0.29
2019-10-25,    0.82,    0.71,    0.48
2019-10-28,    0.94,    0.70,    0.61
2019-10-29,    0.17,    0.19,   -0.17
2019-10-30,   -0.50,   -0.32,    0.36
2019-10-31,   -0.68,   -0.84,   -0.31
2019-11-01,    1.92,    1.73,    0.99
2019-11-04,    0.95,    0.63,    0.38
2019-11-05,    0.93,    0.22,   -0.06
2019-11-06,   -0.96,   -0.59,    0.04
2019-11-07,    0.60,    0.25,    0.40
2019-11-08,    0.21,    0.41,    0.30
2019-11-11,   -0.41,   -0.19,   -0.18
2019-11-12,   -0.06,    0.08,    0.18
2019-11-13,   -0.52,   -0.29,    0.06
2019-11-14,   -0.17,    0.13,    0.07
2019-11-15,    0.22,    0.65,    0.77
2019-11-18,   -0.11,   -0.23,    0.06
2019-11-19,    0.39,    0.13,    0.00
2019-11-20,   -0.44,   -0.36,   -0.32
2019-11-21,   -0.49,   -0.38,   -0.10
2019-11-22,    0.50,    0.38,    0.23
2019-11-25,    2.17,    1.59,    0.81
2019-11-26,   -0.09,    0.20,    0.19
2019-11-27,    0.57,    0.60,    0.43
2019-11-29,   -0.03,   -0.74,   -0.39
2019-12-02,   -0.84,   -1.00,   -0.84
2019-12-03,   -0.36,   -0.52,   -0.69
2019-12-04,    0.77,    0.78,    0.60
2019-12-05,   -0.17,    0.21,    0.14
2019-12-06,    1.56,    0.92,    0.92
2019-12-09,    0.16,   -0.38,   -0.33
2019-12-10,    0.44,   -0.04,   -0.09
2019-12-11,    0.09,    0.21,    0.30
2019-12-12,    1.31,    1.09,    0.88
2019-12-13,   -0.36,   -0.54,    0.03
2019-12-16,    0.87,    0.70,    0.74
2019-12-17,    0.61,    0.44,    0.05
2019-12-18,    0.26,    0.15,   -0.07
2019-12-19,    0.38,    0.32,    0.44
2019-12-20,    0.28,    0.50,    0.48
2019-12-23,    0.75,   -0.01,    0.10
2019-12-24,    0.64,    0.09,    0.00
2019-12-26,   -0.13,    0.09,    0.55
2019-12-27,   -0.88,   -0.44,   -0.03
2019-12-30,   -0.26,   -0.31,   -0.60
2019-12-31,    0.44,    0.24,    0.28
2020-01-02,   -0.46,    0.23,    0.98
2020-01-03,   -0.58,   -0.44,   -0.70
2020-01-06,    0.26,    0.10,    0.38
2020-01-07,   -0.33,   -0.15,   -0.20
2020-01-08,    0.09,    0.27,    0.50
2020-01-09,    0.04,    0.23,    0.71
2020-01-10,   -0.50,   -0.45,   -0.31
2020-01-13,    0.49,    0.84,    0.72
2020-01-14,    0.37,    0.42,   -0.12
2020-01-15,    0.53,    0.11,    0.16
2020-01-16,    1.58,    1.15,    0.83
2020-01-17,   -0.38,   -0.22,    0.36
2020-01-21,   -0.86,   -0.83,   -0.25
2020-01-22,   -0.17,   -0.02,    0.10
2020-01-23,   -0.08,    0.03,    0.10
2020-01-24,   -1.57,   -1.22,   -0.91
2020-01-27,   -1.22,   -1.36,   -1.59
2020-01-28,    0.64,    1.01,    1.04
2020-01-29,   -0.77,   -0.40,   -0.06
2020-01-30,   -0.41,    0.09,    0.40
2020-01-31,   -2.08,   -2.09,   -1.70
2020-02-03,    0.94,    1.04,    0.81
2020-02-04,    1.21,    1.58,    1.58
2020-02-05,    1.82,    1.25,    0.96
2020-02-06,   -0.14,   -0.50,    0.37
2020-02-07,   -1.37,   -1.10,   -0.47
2020-02-10,    0.61,    0.57,    0.74
2020-02-11,    0.60,    0.68,    0.23
2020-02-12,    0.70,    0.80,    0.66
2020-02-13,   -0.14,    0.20,   -0.12
2020-02-14,   -0.40,   -0.19,    0.19
2020-02-18,    0.02,   -0.35,   -0.19
2020-02-19,    0.81,    0.65,    0.59
2020-02-20,    0.59,    0.17,   -0.41
2020-02-21,   -1.16,   -1.13,   -1.10
2020-02-24,   -3.11,   -3.16,   -3.42
2020-02-25,   -3.48,   -3.45,   -3.04
2020-02-26,   -1.19,   -1.52,   -0.39
2020-02-27,   -3.56,   -3.42,   -4.34
2020-02-28,   -0.60,   -1.18,   -0.76
2020-03-02,    2.47,    2.82,    4.55
2020-03-03,   -2.08,   -2.47,   -2.86
2020-03-04,    2.44,    3.10,    4.17
2020-03-05,   -3.58,   -3.71,   -3.35
2020-03-06,   -2.34,   -1.97,   -1.71
2020-03-09,   -9.55,   -9.37,   -7.56
2020-03-10,    1.64,    3.62,    4.96
2020-03-11,   -6.01,   -6.38,   -4.89
2020-03-12,  -11.41,  -10.42,   -9.51
2020-03-13,    6.44,    7.67,    9.24
2020-03-16,  -13.25,  -13.26,  -11.83
2020-03-17,    6.96,    5.19,    5.91
2020-03-18,  -11.61,   -9.14,   -5.09
2020-03-19,    8.01,    5.14,    0.79
2020-03-20,   -3.17,   -4.17,   -4.23
2020-03-23,   -0.65,   -2.15,   -2.67
2020-03-24,    8.34,   10.39,    9.29
2020-03-25,    1.16,    2.27,    1.06
2020-03-26,    5.88,    5.67,    6.10
2020-03-27,   -4.51,   -3.86,   -3.42
2020-03-30,    2.34,    2.11,    3.30
2020-03-31,    0.40,   -1.06,   -1.51
2020-04-01,   -6.94,   -5.98,   -4.29
2020-04-02,    1.14,    1.13,    2.26
2020-04-03,   -2.97,   -2.84,   -1.52
2020-04-06,    7.45,    8.25,    6.98
2020-04-07,   -0.23,    0.68,   -0.16
2020-04-08,    4.48,    4.60,    3.28
2020-04-09,    4.54,    3.67,    1.33
2020-04-13,   -1.66,   -2.77,   -0.74
2020-04-14,    1.73,    2.25,    3.12
2020-04-15,   -4.12,   -3.77,   -1.98
2020-04-16,   -0.65,   -0.02,    0.68
2020-04-17,    4.58,    4.36,    2.55
2020-04-20,   -0.76,   -1.25,   -1.64
2020-04-21,   -2.01,   -2.72,   -3.13
2020-04-22,    1.54,    1.39,    2.39
2020-04-23,    1.22,    1.21,   -0.02
2020-04-24,    1.64,    1.73,    1.41
2020-04-27,    4.09,    3.94,    1.47
2020-04-28,    1.55,    0.89,   -0.60
2020-04-29,    5.30,    4.46,    2.72
2020-04-30,   -3.60,   -3.16,   -0.93
2020-05-01,   -3.75,   -3.58,   -2.82
2020-05-04,    0.52,    0.41,    0.52
2020-05-05,    0.36,    0.92,    0.94
2020-05-06,   -0.69,   -0.57,   -0.54
2020-05-07,    1.66,    1.74,    1.22
2020-05-08,    3.45,    3.42,    1.73
2020-05-11,   -0.20,   -0.46,    0.08
2020-05-12,   -2.99,   -3.33,   -1.95
2020-05-13,   -3.49,   -3.37,   -1.72
2020-05-14,   -0.33,    1.02,    1.21
2020-05-15,    2.05,    1.28,    0.42
2020-05-18,    5.83,    5.74,    2.99
2020-05-19,   -1.94,   -1.65,   -0.96
2020-05-20,    3.20,    2.53,    1.70
2020-05-21,   -0.11,    0.11,   -0.79
2020-05-22,    0.63,    0.41,    0.25
2020-05-26,    2.46,    2.77,    1.11
2020-05-27,    3.08,    2.67,    1.45
2020-05-28,   -2.54,   -1.89,   -0.24
2020-05-29,   -0.41,   -0.05,    0.63
2020-06-01,    0.74,    1.23,    0.39
2020-06-02,    0.93,    0.90,    0.81
2020-06-03,    2.14,    2.36,    1.32
2020-06-04,    0.69,   -0.02,   -0.35
2020-06-05,    3.59,    2.99,    2.47
2020-06-08,    2.74,    1.99,    1.24
2020-06-09,   -1.58,   -2.05,   -0.72
2020-06-10,   -2.78,   -2.34,   -0.37
2020-06-11,   -7.87,   -7.04,   -5.78
2020-06-12,    2.36,    2.10,    1.19
2020-06-15,    2.67,    1.92,    0.92
2020-06-16,    2.36,    2.22,    1.85
2020-06-17,   -1.84,   -1.28,   -0.31
2020-06-18,    0.21,    0.09,    0.15
2020-06-19,   -0.26,   -0.40,   -0.47
2020-06-22,    1.14,    0.62,    0.68
2020-06-23,    0.58,    0.29,    0.43
2020-06-24,   -2.90,   -3.45,   -2.54
2020-06-25,    1.89,    1.29,    1.09
2020-06-26,   -2.80,   -2.19,   -2.44
2020-06-29,    2.67,    2.34,    1.44
2020-06-30,    1.67,    1.50,    1.59
2020-07-01,   -1.44,   -0.93,    0.58
2020-07-02,    0.21,    0.60,    0.51
2020-07-06,    0.88,    0.90,    1.75
2020-07-07,   -2.35,   -1.72,   -0.92
2020-07-08,    0.46,    0.96,    0.89
2020-07-09,   -2.55,   -1.90,   -0.37
2020-07-10,    1.87,    1.54,    1.06
2020-07-13,   -1.43,   -1.37,   -1.17
2020-07-14,    1.64,    1.66,    1.32
2020-07-15,    3.91,    3.42,    0.87
2020-07-16,   -0.28,   -0.55,   -0.36
2020-07-17,    0.32,    0.24,    0.30
2020-07-20,   -0.35,   -0.17,    1.18
2020-07-21,    2.14,    1.23,    0.01
2020-07-22,   -0.65,    0.36,    0.53
2020-07-23,    0.06,    0.09,   -1.35
2020-07-24,   -1.53,   -1.21,   -0.68
2020-07-27,    0.78,    1.01,    0.87
2020-07-28,   -0.93,   -1.21,   -0.77
2020-07-29,    2.04,    2.11,    1.27
2020-07-30,   -0.22,   -0.57,   -0.26
2020-07-31,   -1.64,   -0.74,    0.79
2020-08-03,    2.03,    1.74,    0.87
2020-08-04,    1.03,    0.53,    0.34
2020-08-05,    1.97,    1.75,    0.66
2020-08-06,   -0.35,   -0.27,    0.63
2020-08-07,    1.98,    1.15,   -0.12
2020-08-10,    2.08,    0.88,    0.13
2020-08-11,   -0.75,   -0.39,   -0.88
2020-08-12,    0.36,    0.44,    1.52
2020-08-13,   -0.16,   -0.05,   -0.02
2020-08-14,   -0.01,   -0.11,   -0.03
2020-08-17,    0.23,    0.28,    0.47
2020-08-18,   -1.28,   -0.87,    0.36
2020-08-19,    0.40,    0.04,   -0.43
2020-08-20,   -0.79,   -0.67,    0.43
2020-08-21,   -1.37,   -0.52,    0.36
2020-08-24,    0.77,    1.30,    0.89
2020-08-25,    0.43,    0.13,    0.37
2020-08-26,   -1.05,   -0.43,    1.18
2020-08-27,   -0.11,    0.46,    0.16
2020-08-28,    1.24,    0.94,    0.66
2020-08-31,   -1.13,   -1.01,    0.07
2020-09-01,    0.75,    1.01,    0.90
2020-09-02,    0.78,    0.95,    1.31
2020-09-03,   -2.67,   -3.23,   -3.74
2020-09-04,   -0.36,   -0.51,   -0.91
2020-09-08,   -1.62,   -2.15,   -3.03
2020-09-09,    1.22,    1.49,    2.15
2020-09-10,   -0.87,   -1.28,   -1.69
