Date,Lo 30,Med 40,Hi 30
2019-06-18,    0.99,    1.06,    1.40
2019-06-19,    0.42,    0.26,   -0.16
2019-06-20,    0.92,    1.13,    0.64
2019-06-21,   -0.21,   -0.12,   -0.27
2019-06-24,   -0.22,   -0.36,   -0.55
2019-06-25,   -1.30,   -0.65,   -0.45
2019-06-26,   -0.05,   -0.04,    0.09
2019-06-27,    0.48,    0.56,    0.95
2019-06-28,    0.40,    0.80,    1.55
2019-07-01,    0.91,    0.60,    0.66
2019-07-02,    0.40,   -0.19,   -0.69
2019-07-03,    0.83,    0.73,    0.63
2019-07-05,   -0.22,    0.02,    0.59
2019-07-08,   -0.56,   -0.55,   -0.62
2019-07-09,    0.31,   -0.02,    0.13
2019-07-10,    0.55,    0.26,   -0.05
2019-07-11,    0.15,    0.31,    0.17
2019-07-12,    0.40,    0.73,    0.83
2019-07-15,    0.20,   -0.33,   -0.80
2019-07-16,   -0.35,   -0.22,   -0.27
2019-07-17,   -0.47,   -0.88,   -0.88
2019-07-18,    0.24,    0.41,    0.60
2019-07-19,   -0.73,   -0.42,    0.03
2019-07-22,    0.42,    0.08,   -0.16
2019-07-23,    0.58,    0.76,    1.20
2019-07-24,    0.51,    0.77,    1.68
2019-07-25,   -0.58,   -0.68,   -0.96
2019-07-26,    0.94,    0.55,    0.85
2019-07-29,   -0.25,   -0.27,   -0.73
2019-07-30,   -0.34,    0.09,    0.63
2019-07-31,   -1.19,   -0.98,   -0.69
2019-08-01,   -0.62,   -1.32,   -2.76
2019-08-02,   -1.01,   -0.58,   -1.02
2019-08-05,   -3.22,   -2.69,   -3.14
2019-08-06,    1.49,    1.00,    0.98
2019-08-07,    0.31,   -0.32,   -0.70
2019-08-08,    2.11,    1.75,    1.70
2019-08-09,   -0.76,   -0.83,   -0.84
2019-08-12,   -1.23,   -1.24,   -1.71
2019-08-13,    1.72,    1.14,    1.04
2019-08-14,   -2.89,   -2.88,   -3.58
2019-08-15,    0.35,   -0.04,   -0.37
2019-08-16,    1.43,    1.58,    2.26
2019-08-19,    1.17,    1.10,    1.26
2019-08-20,   -0.65,   -0.88,   -1.23
2019-08-21,    1.02,    0.57,    0.57
2019-08-22,   -0.17,   -0.01,    0.42
2019-08-23,   -2.69,   -2.55,   -2.88
2019-08-26,    1.22,    0.93,    1.00
2019-08-27,   -0.20,   -0.65,   -1.23
2019-08-28,    0.53,    0.80,    1.33
2019-08-29,    1.31,    1.44,    1.71
2019-08-30,   -0.08,    0.32,    0.34
2019-09-03,   -0.92,   -0.58,   -1.13
2019-09-04,    1.02,    1.14,    1.41
2019-09-05,    1.49,    1.18,    2.17
2019-09-06,   -0.09,    0.21,   -0.08
2019-09-09,   -0.57,    0.97,    2.52
2019-09-10,   -0.24,    0.71,    1.54
2019-09-11,    0.80,    0.94,    1.17
2019-09-12,    0.32,    0.09,   -0.04
2019-09-13,   -0.22,    0.40,    0.58
2019-09-16,   -0.46,    0.20,    0.01
2019-09-17,    0.45,   -0.19,   -0.65
2019-09-18,    0.01,   -0.07,   -0.07
2019-09-19,    0.06,   -0.16,   -0.44
2019-09-20,   -0.58,   -0.30,   -0.22
2019-09-23,   -0.06,   -0.01,    0.08
2019-09-24,   -1.00,   -0.77,   -1.48
2019-09-25,    0.72,    0.58,    1.09
2019-09-26,   -0.29,   -0.63,   -0.63
2019-09-27,   -0.83,   -0.21,   -0.08
2019-09-30,    0.69,    0.27,   -0.06
2019-10-01,   -1.01,   -1.62,   -2.08
2019-10-02,   -1.71,   -1.78,   -1.82
2019-10-03,    0.98,    0.49,    0.30
2019-10-04,    1.48,    1.36,    1.32
2019-10-07,   -0.38,   -0.49,   -0.40
2019-10-08,   -1.56,   -1.65,   -1.99
2019-10-09,    1.02,    0.86,    0.72
2019-10-10,    0.53,    0.70,    1.11
2019-10-11,    1.21,    1.19,    1.70
2019-10-14,   -0.12,   -0.34,   -0.04
2019-10-15,    1.05,    0.98,    1.27
2019-10-16,   -0.29,   -0.18,   -0.16
2019-10-17,    0.35,    0.43,    0.29
2019-10-18,   -0.80,   -0.06,    0.25
2019-10-21,    0.58,    0.87,    1.22
2019-10-22,   -0.61,    0.24,    0.41
2019-10-23,    0.25,    0.25,    0.34
2019-10-24,    0.58,   -0.17,   -0.63
2019-10-25,    0.40,    0.75,    0.84
2019-10-28,    0.82,    0.18,    0.82
2019-10-29,   -0.31,    0.15,    0.22
2019-10-30,    0.54,   -0.05,   -0.70
2019-10-31,   -0.31,   -0.37,   -0.59
2019-11-01,    0.86,    1.37,    1.94
2019-11-04,    0.13,    0.81,    1.44
2019-11-05,   -0.20,    0.30,    0.40
2019-11-06,    0.05,   -0.13,   -0.41
2019-11-07,    0.29,    0.54,    0.69
2019-11-08,    0.43,    0.05,    0.13
2019-11-11,   -0.12,   -0.29,   -0.37
2019-11-12,    0.26,    0.01,   -0.03
2019-11-13,    0.18,   -0.14,   -0.74
2019-11-14,    0.13,    0.06,   -0.23
2019-11-15,    0.85,    0.57,    0.57
2019-11-18,    0.10,   -0.10,   -0.22
2019-11-19,    0.17,   -0.12,   -0.63
2019-11-20,   -0.29,   -0.31,   -0.70
2019-11-21,   -0.22,    0.00,    0.03
2019-11-22,    0.19,    0.28,    0.69
2019-11-25,    1.06,    0.60,    0.90
2019-11-26,    0.40,   -0.12,   -0.44
2019-11-27,    0.48,    0.30,    0.56
2019-11-29,   -0.39,   -0.48,   -0.55
2019-12-02,   -1.01,   -0.60,   -0.57
2019-12-03,   -0.51,   -0.81,   -1.26
2019-12-04,    0.52,    0.69,    1.03
2019-12-05,    0.12,    0.16,    0.35
2019-12-06,    0.83,    1.05,    1.29
2019-12-09,   -0.33,   -0.40,   -0.19
2019-12-10,   -0.06,   -0.18,    0.10
2019-12-11,    0.38,    0.14,    0.08
2019-12-12,    0.61,    1.30,    1.98
2019-12-13,    0.17,   -0.34,   -0.62
2019-12-16,    0.76,    0.65,    0.80
2019-12-17,    0.05,    0.07,    0.65
2019-12-18,   -0.05,   -0.12,    0.15
2019-12-19,    0.56,    0.27,    0.11
2019-12-20,    0.47,    0.53,    0.29
2019-12-23,    0.15,    0.02,   -0.04
2019-12-24,   -0.03,    0.11,    0.07
2019-12-26,    0.61,    0.30,    0.36
2019-12-27,   -0.03,   -0.12,   -0.37
2019-12-30,   -0.70,   -0.29,   -0.29
2019-12-31,    0.23,    0.37,    0.41
2020-01-02,    1.14,    0.43,    0.55
2020-01-03,   -0.71,   -0.57,   -0.95
2020-01-06,    0.51,    0.14,   -0.16
2020-01-07,   -0.17,   -0.34,   -0.13
2020-01-08,    0.68,    0.01,    0.20
2020-01-09,    0.81,    0.38,    0.39
2020-01-10,   -0.19,   -0.53,   -0.63
2020-01-13,    0.82,    0.63,    0.55
2020-01-14,   -0.18,    0.03,    0.35
2020-01-15,    0.27,    0.11,   -0.68
2020-01-16,    0.93,    0.75,    0.95
2020-01-17,    0.36,    0.19,    0.12
2020-01-21,   -0.16,   -0.56,   -1.04
2020-01-22,    0.08,    0.07,    0.24
2020-01-23,    0.16,    0.09,   -0.19
2020-01-24,   -0.93,   -0.77,   -1.55
2020-01-27,   -1.57,   -1.52,   -1.86
2020-01-28,    1.12,    0.91,    0.94
2020-01-29,    0.11,   -0.29,   -1.10
2020-01-30,    0.22,    0.58,    0.79
2020-01-31,   -1.66,   -2.02,   -1.84
2020-02-03,    1.11,    0.26,    0.51
2020-02-04,    1.89,    0.88,    1.44
2020-02-05,    0.58,    1.73,    2.16
2020-02-06,    0.52,   -0.12,   -0.21
