Date,Lo 30,Med 40,Hi 30
2020-11-09,    0.70,    2.53,   -0.65
2020-11-10,    0.80,    0.33,   -1.05
2020-11-11,    1.02,    0.35,    1.30
2020-11-12,   -1.02,   -1.07,   -0.79
2020-11-13,    1.52,    1.51,    0.99
2020-11-16,    1.67,    1.28,    0.95
2020-11-17,   -0.54,   -0.46,    0.14
2020-11-18,   -1.30,   -1.09,   -0.67
2020-11-19,    0.55,    0.45,    0.70
2020-11-20,   -0.50,   -0.58,   -0.50
2020-11-23,    0.20,    1.04,    0.84
2020-11-24,    1.59,    1.89,    1.24
2020-11-25,   -0.26,   -0.36,    0.45
2020-11-27,    0.43,    0.15,    0.65
2020-11-30,    0.20,   -0.87,   -0.52
2020-12-01,    1.41,    0.99,    0.88
2020-12-02,    0.29,    0.29,   -0.08
2020-12-03,    0.22,    0.06,    0.18
2020-12-04,    1.11,    1.07,    0.85
2020-12-07,   -0.06,   -0.31,    0.31
2020-12-08,    0.52,    0.50,    0.38
2020-12-09,   -0.63,   -0.52,   -1.64
2020-12-10,    0.46,   -0.24,    0.50
2020-12-11,   -0.67,   -0.14,    0.05
2020-12-14,   -0.51,   -0.70,    0.31
2020-12-15,    2.43,    1.11,    0.94
2020-12-16,   -0.06,    0.04,    0.35
2020-12-17,    0.73,    0.57,    0.93
2020-12-18,   -0.62,   -0.39,    0.30
2020-12-21,   -0.04,   -0.07,   -0.59
2020-12-22,    0.40,   -0.38,    0.20
2020-12-23,    0.19,    0.37,   -0.17
2020-12-24,    0.25,    0.30,    0.22
2020-12-28,    0.97,    0.43,    0.46
2020-12-29,   -0.76,   -0.22,   -0.29
2020-12-30,    0.13,    0.26,    0.30
2020-12-31,    0.07,    0.70,    0.35
2021-01-04,   -1.39,   -1.39,   -1.32
2021-01-05,    1.27,    0.65,    0.79
2021-01-06,    0.75,    1.56,    0.09
2021-01-07,    1.66,    1.22,    2.18
2021-01-08,    0.40,    0.06,    0.97
2021-01-11,   -0.27,   -0.05,   -1.11
2021-01-12,    0.62,    0.15,    0.33
2021-01-13,    0.20,   -0.11,    0.12
2021-01-14,    0.03,    0.14,   -0.49
2021-01-15,   -0.90,   -0.89,   -0.72
2021-01-19,    0.93,    0.50,    1.27
2021-01-20,    1.20,    0.82,    1.82
2021-01-21,    0.67,   -0.41,   -0.02
2021-01-22,    0.49,   -0.38,   -0.19
2021-01-25,    1.06,    0.10,    0.06
2021-01-26,    0.00,   -0.37,   -0.43
2021-01-27,   -1.45,   -2.36,   -3.28
2021-01-28,   -0.73,    1.60,    1.25
2021-01-29,   -2.04,   -2.02,   -1.63
2021-02-01,    1.08,    1.32,    2.39
2021-02-02,    0.70,    1.42,    1.95
2021-02-03,    0.10,    0.15,    0.12
2021-02-04,    1.39,    1.18,    1.15
2021-02-05,    0.53,    0.49,    0.66
2021-02-08,    1.18,    0.97,    0.78
2021-02-09,   -0.46,    0.10,    0.13
2021-02-10,   -0.23,   -0.04,   -0.06
2021-02-11,   -0.01,    0.25,    0.29
2021-02-12,    0.47,    0.54,    0.48
2021-02-16,   -0.44,    0.13,   -0.21
2021-02-17,   -0.49,    0.15,   -0.28
2021-02-18,   -0.81,   -0.59,   -0.48
2021-02-19,    0.51,    0.25,   -0.21
2021-02-22,   -0.80,   -0.41,   -1.75
2021-02-23,   -0.31,    0.14,   -0.08
2021-02-24,    0.97,    1.26,    1.08
2021-02-25,   -2.53,   -2.07,   -3.30
2021-02-26,   -0.36,   -0.78,    0.21
2021-03-01,    3.14,    2.13,    2.78
2021-03-02,   -1.08,   -0.66,   -1.33
2021-03-03,   -1.19,   -0.73,   -2.35
2021-03-04,   -1.66,   -1.10,   -2.08
2021-03-05,    2.28,    2.06,    1.64
2021-03-08,   -0.55,    0.21,   -1.48
2021-03-09,    1.58,    0.56,    2.88
2021-03-10,    0.36,    1.11,    0.39
2021-03-11,    0.82,    0.68,    2.20
2021-03-12,    0.35,    0.42,   -0.31
2021-03-15,    1.05,    0.38,    0.76
2021-03-16,   -0.11,   -0.34,   -0.50
2021-03-17,    0.22,    0.32,    0.39
2021-03-18,   -1.88,   -0.96,   -2.54
2021-03-19,    0.12,   -0.32,    0.72
2021-03-22,    0.92,    0.28,    0.66
2021-03-23,   -1.59,   -0.94,   -0.98
2021-03-24,   -1.02,   -0.07,   -1.63
2021-03-25,    1.27,    0.74,    0.29
2021-03-26,    1.90,    1.87,    1.14
2021-03-29,   -0.51,   -0.40,   -0.40
2021-03-30,   -0.24,   -0.12,    0.06
2021-03-31,    0.58,   -0.04,    1.17
2021-04-01,    0.91,    1.07,    1.66
2021-04-05,    1.45,    1.12,    1.44
2021-04-06,   -0.09,   -0.07,    0.09
2021-04-07,   -0.04,   -0.05,   -0.02
2021-04-08,    0.66,    0.26,    0.93
2021-04-09,    0.84,    0.62,    0.66
2021-04-12,   -0.46,    0.04,    0.15
2021-04-13,    0.53,   -0.17,    0.83
2021-04-14,   -0.12,    0.11,   -0.83
