Date,Lo 30,Med 40,Hi 30
2019-06-18,    1.27,    0.97,    1.09
2019-06-19,    0.25,    0.32,    0.29
2019-06-20,    1.03,    0.98,    0.87
2019-06-21,   -0.33,   -0.02,   -0.30
2019-06-24,   -0.85,   -0.28,   -0.13
2019-06-25,   -0.81,   -0.91,   -1.14
2019-06-26,    0.01,   -0.19,    0.10
2019-06-27,    1.00,    0.72,    0.31
2019-06-28,    1.14,    0.94,    0.31
2019-07-01,    0.80,    0.71,    0.87
2019-07-02,   -0.15,    0.10,    0.26
2019-07-03,    0.93,    0.78,    0.74
2019-07-05,    0.04,    0.10,   -0.25
2019-07-08,   -0.63,   -0.61,   -0.50
2019-07-09,    0.40,    0.12,    0.18
2019-07-10,    0.15,    0.34,    0.55
2019-07-11,    0.14,    0.40,    0.04
2019-07-12,    0.38,    0.36,    0.74
2019-07-15,   -0.08,   -0.25,    0.14
2019-07-16,   -0.46,   -0.27,   -0.29
2019-07-17,   -0.64,   -0.50,   -0.73
2019-07-18,    0.48,    0.23,    0.34
2019-07-19,   -0.69,   -0.60,   -0.51
2019-07-22,    0.03,    0.13,    0.46
2019-07-23,    0.39,    0.62,    0.83
2019-07-24,    1.11,    0.51,    0.71
2019-07-25,   -1.02,   -0.55,   -0.58
2019-07-26,    0.92,    1.35,    0.38
2019-07-29,   -0.64,   -0.37,   -0.12
2019-07-30,    0.25,   -0.08,   -0.28
2019-07-31,   -0.98,   -0.94,   -1.25
2019-08-01,   -1.28,   -1.17,   -0.81
2019-08-02,   -1.02,   -0.81,   -0.91
2019-08-05,   -3.02,   -2.94,   -3.19
2019-08-06,    1.30,    1.25,    1.35
2019-08-07,   -0.10,   -0.31,    0.38
2019-08-08,    1.93,    1.83,    2.08
2019-08-09,   -0.76,   -0.77,   -0.80
2019-08-12,   -1.62,   -1.36,   -1.12
2019-08-13,    1.14,    1.30,    1.75
2019-08-14,   -3.00,   -2.93,   -2.94
2019-08-15,    0.13,    0.10,    0.26
2019-08-16,    1.66,    1.51,    1.55
2019-08-19,    0.86,    1.06,    1.34
2019-08-20,   -0.72,   -0.99,   -0.61
2019-08-21,    0.81,    0.66,    1.03
2019-08-22,   -0.12,   -0.03,   -0.10
2019-08-23,   -2.26,   -2.52,   -2.92
2019-08-26,    0.96,    1.06,    1.22
2019-08-27,   -0.81,   -0.55,   -0.19
2019-08-28,    0.56,    0.73,    0.68
2019-08-29,    1.45,    1.35,    1.38
2019-08-30,    0.00,    0.14,    0.02
2019-09-03,   -0.99,   -0.75,   -0.89
2019-09-04,    0.92,    0.94,    1.26
2019-09-05,    1.30,    1.36,    1.60
2019-09-06,   -0.11,   -0.03,    0.04
2019-09-09,    0.15,    0.57,   -0.23
2019-09-10,    0.29,    0.50,   -0.10
2019-09-11,    1.11,    0.96,    0.74
2019-09-12,    0.17,    0.16,    0.29
2019-09-13,    0.20,    0.28,   -0.24
2019-09-16,    0.10,   -0.11,   -0.45
2019-09-17,    0.18,   -0.11,    0.38
2019-09-18,   -0.07,   -0.05,    0.03
2019-09-19,   -0.22,   -0.07,    0.02
2019-09-20,   -0.14,   -0.27,   -0.73
2019-09-23,   -0.12,   -0.05,    0.01
2019-09-24,   -1.33,   -0.90,   -0.94
2019-09-25,    0.58,    0.68,    0.78
2019-09-26,   -0.61,   -0.51,   -0.27
2019-09-27,   -0.72,   -0.33,   -0.75
2019-09-30,    0.21,    0.33,    0.73
2019-10-01,   -1.43,   -1.65,   -0.95
2019-10-02,   -1.54,   -1.75,   -1.79
2019-10-03,    0.92,    0.57,    0.90
2019-10-04,    1.43,    1.43,    1.42
2019-10-07,   -0.39,   -0.40,   -0.43
2019-10-08,   -1.93,   -1.77,   -1.41
2019-10-09,    0.86,    0.90,    1.00
2019-10-10,    0.51,    0.73,    0.59
2019-10-11,    1.22,    1.09,    1.39
2019-10-14,   -0.11,   -0.20,   -0.17
2019-10-15,    1.00,    1.14,    0.98
2019-10-16,   -0.67,   -0.20,   -0.13
2019-10-17,    0.36,    0.52,    0.25
2019-10-18,   -0.50,   -0.15,   -0.76
2019-10-21,    0.86,    0.65,    0.74
2019-10-22,   -0.54,    0.08,   -0.50
2019-10-23,    0.36,    0.39,    0.14
2019-10-24,    0.28,   -0.10,    0.53
2019-10-25,    0.58,    0.45,    0.58
2019-10-28,    0.51,    0.63,    0.69
2019-10-29,    0.02,    0.02,   -0.29
2019-10-30,    0.13,    0.16,    0.38
2019-10-31,   -0.33,   -0.48,   -0.27
2019-11-01,    1.37,    1.10,    0.99
2019-11-04,    0.30,    0.58,    0.35
2019-11-05,    0.13,    0.12,   -0.13
2019-11-06,   -0.10,   -0.03,   -0.04
2019-11-07,    0.39,    0.48,    0.34
2019-11-08,    0.40,    0.23,    0.32
2019-11-11,   -0.10,   -0.35,   -0.09
2019-11-12,    0.27,    0.14,    0.15
2019-11-13,   -0.06,    0.07,   -0.03
